key,fare_amount
2015-01-27 13:08:24.0000002,6.5713453
2015-01-27 13:08:24.0000003,6.8725195
2011-10-08 11:53:44.0000002,8.289096
2012-12-01 21:12:12.0000002,5.3514066
2012-12-01 21:12:12.0000003,11.371809
2012-12-01 21:12:12.0000005,7.91135
2011-10-06 12:10:20.0000001,6.0737643
2011-10-06 12:10:20.0000003,44.932503
2011-10-06 12:10:20.0000002,8.996677
2014-02-18 15:22:20.0000002,5.917146
2014-02-18 15:22:20.0000003,6.456107
2014-02-18 15:22:20.0000001,14.600126
2010-03-29 20:20:32.0000002,5.129336
2010-03-29 20:20:32.0000001,4.8423367
2011-10-06 03:59:12.0000002,6.401434
2011-10-06 03:59:12.0000001,10.074229
2012-07-15 16:45:04.0000006,8.37107
2012-07-15 16:45:04.0000002,5.6878023
2012-07-15 16:45:04.0000003,7.944719
2012-07-15 16:45:04.0000004,8.34316
2014-10-29 02:09:56.0000001,5.532972
2014-06-14 13:39:00.00000010,6.3669453
2014-06-14 13:39:00.00000060,6.7998786
2014-06-14 13:39:00.00000087,5.432128
2014-06-14 13:39:00.00000050,15.816315
2014-06-14 13:39:00.0000003,6.477101
2014-06-14 13:39:00.000000158,39.186184
2014-06-14 13:39:00.00000015,22.079847
2014-06-14 13:39:00.00000073,7.1191487
2014-06-14 13:39:00.00000077,12.777348
2014-06-14 13:39:00.000000145,6.6391954
2014-06-14 13:39:00.00000079,7.205041
2014-06-14 13:39:00.000000121,7.153257
2014-06-14 13:39:00.00000021,6.715628
2014-06-14 13:39:00.0000005,5.244574
2014-06-14 13:39:00.000000165,6.13351
2014-06-14 13:39:00.000000184,7.2934403
2014-06-14 13:39:00.00000059,7.1231723
2014-06-14 13:39:00.00000070,5.737163
2014-06-14 13:39:00.00000068,8.290886
2014-06-14 13:39:00.000000133,17.252193
2014-06-14 13:39:00.000000128,7.296795
2014-06-14 13:39:00.000000136,16.756775
2014-06-14 13:39:00.00000017,6.452275
2014-06-14 13:39:00.000000111,8.29921
2014-06-14 13:39:00.000000115,7.875469
2014-06-14 13:39:00.000000168,7.1497455
2014-06-14 13:39:00.00000031,5.8970523
2014-06-14 13:39:00.000000116,6.981451
2014-06-14 13:39:00.00000051,8.050208
2014-06-14 13:39:00.000000193,9.410711
2014-06-14 13:39:00.000000132,10.41955
2014-06-14 13:39:00.000000167,17.891485
2014-06-14 13:39:00.00000044,7.0898004
2014-06-14 13:39:00.000000138,7.0013957
2014-06-14 13:39:00.00000066,12.384347
2014-06-14 13:39:00.00000063,8.124228
2014-06-14 13:39:00.000000154,8.454439
2014-06-14 13:39:00.00000097,10.700432
2014-06-14 13:39:00.00000067,10.506949
2014-06-14 13:39:00.000000179,7.0433435
2014-06-14 13:39:00.00000092,7.1363387
2014-06-14 13:39:00.00000029,8.053141
2014-06-14 13:39:00.000000177,7.87006
2014-06-14 13:39:00.000000192,6.2968383
2014-06-14 13:39:00.000000181,6.8694334
2014-06-14 13:39:00.000000120,7.1567183
2014-06-14 13:39:00.0000008,7.418696
2014-06-14 13:39:00.000000103,8.52237
2014-06-14 13:39:00.00000049,14.191824
2014-06-14 13:39:00.000000108,6.3481107
2014-06-14 13:39:00.00000072,8.01113
2014-06-14 13:39:00.000000182,8.711514
2014-06-14 13:39:00.00000061,6.696843
2014-06-14 13:39:00.00000093,6.8434496
2014-06-14 13:39:00.000000170,10.119692
2014-06-14 13:39:00.000000147,48.316975
2014-06-14 13:39:00.000000140,8.674084
2014-06-14 13:39:00.000000159,8.496896
2014-06-14 13:39:00.00000012,8.06013
2014-06-14 13:39:00.00000025,7.464838
2014-06-14 13:39:00.000000156,6.8404117
2014-06-14 13:39:00.000000152,6.137449
2014-06-14 13:39:00.000000129,6.4465733
2014-06-14 13:39:00.000000119,15.891907
2014-06-14 13:39:00.000000118,7.4378386
2014-06-14 13:39:00.00000076,8.679399
2014-06-14 13:39:00.000000135,6.46588
2014-06-14 13:39:00.00000023,15.837269
2014-06-14 13:39:00.00000082,6.803508
2014-06-14 13:39:00.000000125,6.6477795
2014-06-14 13:39:00.00000075,5.629068
2014-06-14 13:39:00.000000124,6.05119
2014-06-14 13:39:00.000000172,6.669725
2014-06-14 13:39:00.00000024,11.077172
2014-06-14 13:39:00.000000169,10.244855
2014-06-14 13:39:00.00000052,7.6351657
2014-06-14 13:39:00.000000161,10.522978
2014-06-14 13:39:00.00000038,5.7696805
2014-06-14 13:39:00.00000035,6.6129293
2014-06-14 13:39:00.00000053,8.709382
2014-06-14 13:39:00.000000183,5.9183493
2014-06-14 13:39:00.000000131,54.622066
2014-06-14 13:39:00.000000180,6.6831207
2014-06-14 13:39:00.000000130,8.778728
2014-06-14 13:39:00.00000032,8.412243
2014-06-14 13:39:00.000000148,8.421579
2014-06-14 13:39:00.0000007,6.7879267
2014-06-14 13:39:00.00000095,7.8323956
2014-06-14 13:39:00.000000144,30.412106
2014-06-14 13:39:00.000000141,32.431366
